restaurant_id,best_restaurant,avg_total_score,avg_taste_score,avg_service_score,avg_mood_score,num_of_reviews,num_of_collections,category_name
__2wghHUrj6Mh3ifIl9STw,0,4.08671,4.33526,3.89595,4.15607,173,4,일식
__ecNH4GY-V1V5yQ3J88pg,0,4.95789,5.00000,5.00000,4.89474,19,1,스시오마카세
__LdzuMhSLULvvPkHrq6SQ,0,4.61951,4.59350,4.69919,4.65854,123,4,일식
__SqT3QKV8KX5l0o99htLQ,0,4.43187,4.47527,4.45879,4.46429,182,7,이탈리아음식
__VxLjL-dxcIDL7OshNL1g,0,4.62838,4.65842,4.69362,4.60891,909,43,이탈리아음식
_-hP-1O_bz8CWlKL9eePUw,1,4.71868,4.67370,4.84685,4.72226,4551,934,퓨전음식
_-uXzP6aG9fTeJfLyuo20w,0,4.71228,4.73684,4.81579,4.69298,114,1,소고기구이
_1I4NKNp5e8hCVn5jGtemg,0,4.36190,4.38095,4.28571,4.50000,84,2,소고기구이
_1KGzxmcKVD7PdBBnlkIPA,0,4.63684,4.71362,4.61146,4.67337,323,21,다이닝바
_29gdZw5AeoEDaQhiimsfQ,0,4.98182,5.00000,5.00000,5.00000,11,1,소고기구이
_2A7_it8tUOWTzsgVHj-Bw,0,4.50000,4.75000,4.25000,4.50000,4,2,일식
_2K2y-eDwVkx7fJX8sZWJQ,0,3.91111,4.01852,3.90741,3.90741,27,0,육류 고기요리
_3Dp8nS6G-TcgvEnOB5K6w,0,4.52687,4.52239,4.58209,4.62687,67,12,프랑스음식
_4r5bA5MZ9KlmZfsZ4YFBw,0,5.00000,5.00000,5.00000,5.00000,1,1,유러피안음식
_5h-HG9ffgM_X5tt4LqMYQ,0,4.88626,4.93511,4.89695,4.87786,262,14,일식
_6naZmzxTNWABR8enzcTIw,0,4.75000,4.75000,5.00000,4.50000,4,1,게  랍스터
_aNTwfg16IfT__BLp3MIaA,0,4.29000,4.50000,4.00000,4.60000,10,2,멕시칸음식
_aUb-Ew4wnUnxcy-6EEeKQ,0,4.61111,4.44444,4.66667,4.77778,9,1,소고기구이
_axEOnRs5Kmha4CaHsl0LQ,0,3.95052,4.10309,3.86598,3.97423,194,8,육류 고기요리
_AZWEOufyW7qR4B35HM7YA,0,4.90400,4.92000,4.96000,4.88000,25,1,참치회
