user,restaurant,IntDegree
3VZCuFjlX-29hx-Utli-uw,3K_tEjKmnOW9rYiameaKdA,8
3VZCuFjlX-29hx-Utli-uw,6FH0wDibmWq2HmPGcNTIIg,5
3VZCuFjlX-29hx-Utli-uw,7aORNMXw9Kwl_pshlxb01w,7
3VZCuFjlX-29hx-Utli-uw,7SMQdW1hOCPEvc-GkFpLog,3
3VZCuFjlX-29hx-Utli-uw,AJzAGI8MwEsDLA7qT4V3xg,11
3VZCuFjlX-29hx-Utli-uw,cqbUQADGJCByLzJCX9eDHA,21
3VZCuFjlX-29hx-Utli-uw,E0BlVNIno5xhCO793TeazA,49
3VZCuFjlX-29hx-Utli-uw,EfpIDpkb7nPpZ8Ol1sH_Kg,18
3VZCuFjlX-29hx-Utli-uw,euYxK_Z-DuVrEl74arXqkg,49
3VZCuFjlX-29hx-Utli-uw,HYnTvmpQyWRQoZ5jNoUuKA,49
3VZCuFjlX-29hx-Utli-uw,IZ39EWSZKqDh20br0TYokw,6
3VZCuFjlX-29hx-Utli-uw,j7zVin5r2BNpOdnXfSQ56Q,12
3VZCuFjlX-29hx-Utli-uw,meTGsNRKsDYarOxEEKPc5Q,49
3VZCuFjlX-29hx-Utli-uw,NbajxqGkEErlui9LpiriYg,49
3VZCuFjlX-29hx-Utli-uw,NG9fdHGbJ6_nngLofklwgw,9
3VZCuFjlX-29hx-Utli-uw,nzwE5Qm8BUPdjIktC1xWmQ,49
3VZCuFjlX-29hx-Utli-uw,pg2-pj_qzjw4LsyZCiGBtw,49
3VZCuFjlX-29hx-Utli-uw,rRBP1l5Hq-85O-9kCVZC4Q,49
3VZCuFjlX-29hx-Utli-uw,ruWidTL139T-Wti13RuJgw,13
3VZCuFjlX-29hx-Utli-uw,SZRNy315xtbRMofpcffGSA,21
3VZCuFjlX-29hx-Utli-uw,ttbVjcWKX_FDFb48JTV7Tw,18
3VZCuFjlX-29hx-Utli-uw,V0SNE_bpiuk-rbERvpmqbA,49
3VZCuFjlX-29hx-Utli-uw,V5BGw8p0P0kR6iGIud1QcA,49
3VZCuFjlX-29hx-Utli-uw,Vezv1gW0Kb_2lm-w2rYukA,48
3VZCuFjlX-29hx-Utli-uw,Vht1yjNGMTsvLmizdYdfEQ,49
3VZCuFjlX-29hx-Utli-uw,vmbRKLQMlWYcD2-5lketpA,49
3VZCuFjlX-29hx-Utli-uw,X2nMg3CeWYBj_JuTLuPyjQ,49
3VZCuFjlX-29hx-Utli-uw,x5znKYoSpLq9uGvmpj02aw,3
3VZCuFjlX-29hx-Utli-uw,Y3qnq-yvDkIvYs-GHEnj3A,49
3VZCuFjlX-29hx-Utli-uw,zBNxUOJODRyv-IYjBbMEcA,49
3VZCuFjlX-29hx-Utli-uw,zHjkN5ZDFnWI3t1llNAFqQ,9
7yJDy-Nxs-B6wOw_A19Gug,=-KfR4WkBLCdy0ISb2Lf-kA',154
7yJDy-Nxs-B6wOw_A19Gug,=-QZKXk3LmIy9CrPuZ99v0g',82
7yJDy-Nxs-B6wOw_A19Gug,47jHT01fp_nCI0cT-mo03Q,82
7yJDy-Nxs-B6wOw_A19Gug,7JnwTGKrh6Qo2sbh2pxinA,54
7yJDy-Nxs-B6wOw_A19Gug,A9Bahp1qqbHF1LaxVEuuOA,154
7yJDy-Nxs-B6wOw_A19Gug,AcCNddTxcgxJwLfX4XrTYw,154
7yJDy-Nxs-B6wOw_A19Gug,AJzAGI8MwEsDLA7qT4V3xg,11
7yJDy-Nxs-B6wOw_A19Gug,Bmo0t_bBkLDAFALz7cYG6Q,11
7yJDy-Nxs-B6wOw_A19Gug,bqNXYzXD1UOzmSEZIWc2mg,54
7yJDy-Nxs-B6wOw_A19Gug,euYxK_Z-DuVrEl74arXqkg,154
7yJDy-Nxs-B6wOw_A19Gug,fE10Mv8RxzNj_MlJ7I0Tew,154
7yJDy-Nxs-B6wOw_A19Gug,GH-fb5s4R_O3VqK2Cu8qFw,15
7yJDy-Nxs-B6wOw_A19Gug,JVndsGqjkUNv0sJekfsCrA,11
7yJDy-Nxs-B6wOw_A19Gug,k5-imiurS4XlxYVdYrL_QQ,154
7yJDy-Nxs-B6wOw_A19Gug,L2FwwSp0bYiVe3ORMijOKw,154
7yJDy-Nxs-B6wOw_A19Gug,lh4MgaiNxcYI-hv_lJynyQ,45
7yJDy-Nxs-B6wOw_A19Gug,NG9fdHGbJ6_nngLofklwgw,15
7yJDy-Nxs-B6wOw_A19Gug,O0HXf77RFN_zkcyzjUokgg,41
7yJDy-Nxs-B6wOw_A19Gug,S_GZLFuCsNk3jkfZ0cGvsw,15
7yJDy-Nxs-B6wOw_A19Gug,TYlqckWL4-uWeUDe-NmExg,154
7yJDy-Nxs-B6wOw_A19Gug,VsD5rduELmS-Gh8gamV8Zw,15
7yJDy-Nxs-B6wOw_A19Gug,x5znKYoSpLq9uGvmpj02aw,5
7yJDy-Nxs-B6wOw_A19Gug,Y3qnq-yvDkIvYs-GHEnj3A,154
7yJDy-Nxs-B6wOw_A19Gug,yaGdSH6rp9yBcAMHm_p3qg,12
7yJDy-Nxs-B6wOw_A19Gug,zHjkN5ZDFnWI3t1llNAFqQ,15
EMxt-BGNabHWolIgxkM3vQ,=-QZKXk3LmIy9CrPuZ99v0g',5
EMxt-BGNabHWolIgxkM3vQ,4iBA5oAMGKZ9RlCtJ_Dz-Q,5
EMxt-BGNabHWolIgxkM3vQ,5TCiJVqyIdBjZyQs4mlCyw,9
EMxt-BGNabHWolIgxkM3vQ,AcCNddTxcgxJwLfX4XrTYw,21
EMxt-BGNabHWolIgxkM3vQ,AJzAGI8MwEsDLA7qT4V3xg,8
EMxt-BGNabHWolIgxkM3vQ,aqy8WrS3jpPsFikiFMjbGA,5
EMxt-BGNabHWolIgxkM3vQ,cqbUQADGJCByLzJCX9eDHA,9
EMxt-BGNabHWolIgxkM3vQ,DGIu3AgM_ddSA2fp1lPfCQ,6
EMxt-BGNabHWolIgxkM3vQ,euYxK_Z-DuVrEl74arXqkg,21
EMxt-BGNabHWolIgxkM3vQ,IZ39EWSZKqDh20br0TYokw,5
EMxt-BGNabHWolIgxkM3vQ,jEnRpqluA719LQjVbqMjfQ,20
EMxt-BGNabHWolIgxkM3vQ,jT94qGemyMF8O_jcQyGOFg,20
EMxt-BGNabHWolIgxkM3vQ,JVndsGqjkUNv0sJekfsCrA,9
EMxt-BGNabHWolIgxkM3vQ,K4Pfd98Imj6W2ROBgZ6-vg,5
EMxt-BGNabHWolIgxkM3vQ,NG9fdHGbJ6_nngLofklwgw,6
EMxt-BGNabHWolIgxkM3vQ,nzwE5Qm8BUPdjIktC1xWmQ,21
EMxt-BGNabHWolIgxkM3vQ,qVJYzwJdeHj9QW9ePi8ntA,8
EMxt-BGNabHWolIgxkM3vQ,ROVKhbm91yTziRv7fvUAfA,7
EMxt-BGNabHWolIgxkM3vQ,rRBP1l5Hq-85O-9kCVZC4Q,20
EMxt-BGNabHWolIgxkM3vQ,tRfNfEO4zcoPiMW85GUqIA,21
EMxt-BGNabHWolIgxkM3vQ,TVw1AMNU_EjF-rdWqNMS1Q,5
EMxt-BGNabHWolIgxkM3vQ,XehDQ5K8LAFPo26dVg6ANg,6
EMxt-BGNabHWolIgxkM3vQ,Y3qnq-yvDkIvYs-GHEnj3A,21
EMxt-BGNabHWolIgxkM3vQ,yd_i8XIlFJAZvFphm7eqYg,5
EMxt-BGNabHWolIgxkM3vQ,zBNxUOJODRyv-IYjBbMEcA,20
LacrP7ZyHmBV98cvSpzy3Q,=-KfR4WkBLCdy0ISb2Lf-kA',33
LacrP7ZyHmBV98cvSpzy3Q,5TCiJVqyIdBjZyQs4mlCyw,8
LacrP7ZyHmBV98cvSpzy3Q,7aORNMXw9Kwl_pshlxb01w,3
