restaurant_id,restaurant_name,num_collection,num_review,num_category_restaurant,num_revisit,influential_review_score,score
c-b4sLzjS2SrFKrH0OKQWQ,스시소라 서초점,965,5134,501,511,174,13189
_-hP-1O_bz8CWlKL9eePUw,키친마이야르,934,4551,54,711,275,13105
NFiCk5XJ_OhZakVLcUSeUg,고든램지버거 롯데월드몰점,819,6854,27,255,126,12377
rcNvRKR0kXyQ7ebwm63E8w,스시다온,936,3842,501,386,293,11246
YLXzsBY-KHcM2DdSv7Kilg,오스테리아 오르조,1193,3612,486,211,54,11172
O0HXf77RFN_zkcyzjUokgg,이속우화天空,1005,3241,142,268,823,10571
a7R8HBLcov3kMReQC4Vjgw,스시오오모토,1013,2897,501,267,668,10466
6FH0wDibmWq2HmPGcNTIIg,이속우화,1018,2660,142,289,724,10061
beXRwore1eolQfxiSFujCg,스시소라 광화문점,924,3529,501,155,20,9445
pQUWDMHkPf2II_uVDPCFFQ,웨스틴조선서울 아리아,884,3990,78,181,26,9419
k5-imiurS4XlxYVdYrL_QQ,아루히 니와,1215,1007,501,135,1008,9266
7SMQdW1hOCPEvc-GkFpLog,정식당,1193,2461,1,133,112,9204
8R8KCX3xRkMc7PfI7LeZbA,로우앤슬로우,860,4348,50,86,57,9185
ttbVjcWKX_FDFb48JTV7Tw,무드서울,991,2034,597,182,350,8846
SZRNy315xtbRMofpcffGSA,익스퀴진,1202,1280,44,144,788,8842
JVndsGqjkUNv0sJekfsCrA,밍글스,1177,1456,286,123,316,8558
IuEZHfBNoxXt7xlH2eRzlw,몽중식,951,1995,174,313,55,8544
ueea-0IIap-FPRJnc2gfXQ,스시우미 잠실,965,2050,501,215,78,8529
sNJRIzcqay9yJh9JU-H_UA,콘피에르,1043,2566,44,95,52,8352
=-QZKXk3LmIy9CrPuZ99v0g',사브서울,975,1452,597,208,371,8335
88g2WSAmQ_Koyxzi7f46QQ,레에스티우,1109,1510,35,166,78,7998
6O-BKT4RL9cSF5pwfB1DvQ,페어링룸,988,1994,486,111,14,7989
ruWidTL139T-Wti13RuJgw,LAB 24 by KUmuda,919,2595,141,115,13,7919
5Dvpb4nwqstP973N0whdKA,스시우미 용산,931,1823,501,163,94,7888
Q1bsLYjPep2ZyCGsIzVR2g,이속우화 구우몽,892,2753,142,91,14,7824
2gZr3nLCl9DP4LCRLswXKQ,스시오마주,242,2124,501,613,888,7788
XehDQ5K8LAFPo26dVg6ANg,우모크,1000,1981,142,75,232,7730
euYxK_Z-DuVrEl74arXqkg,스시렌,273,2031,501,670,431,7678
ZiAwqIOsmCMJjHB1NyHcNw,금토일샴페인빠 한남점,909,1897,597,104,25,7584
zHjkN5ZDFnWI3t1llNAFqQ,페리지 (PERIGEE),1013,1002,125,155,338,7305
KEzb9m1BClWme5FHzjvmbw,디도재즈라운지,904,1621,597,78,4,7132
